Date,Open,High,Low,Close,Adj Close,Volume
2024-07-23,110350.0,110365.0,110350.0,110350.0,110350.0,22250
2024-07-24,110355.0,110370.0,110355.0,110370.0,110370.0,11614
2024-07-25,110400.0,110405.0,110385.0,110405.0,110405.0,13351
2024-07-26,110390.0,110420.0,110390.0,110415.0,110415.0,16336
2024-07-29,110420.0,110440.0,110420.0,110435.0,110435.0,9232
2024-07-30,110430.0,110460.0,109845.0,110460.0,110460.0,15379
2024-07-31,110450.0,110465.0,110450.0,110465.0,110465.0,22317
2024-08-01,110475.0,110495.0,110475.0,110490.0,110490.0,5044
2024-08-02,110490.0,110500.0,110485.0,110485.0,110485.0,20951
2024-08-05,110490.0,110520.0,110490.0,110510.0,110510.0,18155
2024-08-06,110550.0,110565.0,110545.0,110560.0,110560.0,22187
2024-08-07,110535.0,110560.0,110535.0,110545.0,110545.0,60980
2024-08-08,110560.0,110575.0,110560.0,110565.0,110565.0,4863
2024-08-09,110580.0,110595.0,110580.0,110595.0,110595.0,36909
2024-08-12,110595.0,110610.0,110595.0,110610.0,110610.0,4326
2024-08-13,110605.0,110625.0,110605.0,110615.0,110615.0,6124
